순위,업소명,주소,분류,합산 검색 수
1,맥도날드서울둔촌DT점,서울 강동구 양재대로 1382-0,간이음식,30906
2,스타벅스강동구청DT점,서울 강동구 성내로 32-0,카페/찻집,24029
3,스윗솔트,서울 강동구 상암로 286-0,외국식,17003
4,맥도날드굽은다리역DT점,서울 강동구 양재대로 1587-0,간이음식,16484
5,스타벅스강동암사DT점,서울 강동구 고덕로 43-0,카페/찻집,14901
6,긴자올림픽점 [일식],서울 강동구 강동대로 223-0,외국식,11810
7,아웃백스테이크하우스천호점,서울 강동구 올림픽로 660-0,외국식,11163
8,차이나린찐[중식],서울 강동구 강동대로 217-0,외국식,10595
9,우드멜로우,서울 강동구 아리수로 243-0,카페/찻집,10071
10,스테이지28,서울 강동구 아리수로61길 105-0,외국식,9848
11,도원한우,서울 강동구 진황도로 227-0,한식,8400
12,수라연[한식],서울 강동구 강동대로 143-64,한식,8092
13,황도바지락칼국수,서울 강동구 천호대로 1256-0,한식,7798
14,강동반상[한식],서울 강동구 상일로6길 39-0,한식,7762
15,꼼떼바베큐둔촌본점,서울 강동구 동남로51길 9-0,외국식,7104
16,스테이지28웁시데이지,서울 강동구 아리수로61길 91-14,카페/찻집,7092
17,브랜뉴하이몬드,서울 강동구 천호옛14길 11-0,간이음식,7091
18,버거킹명일오일뱅크 DT점,서울 강동구 고덕로 168-0,간이음식,6367
19,테라로사길동점,서울 강동구 천호대로 1221-0,카페/찻집,5976
20,맥도날드상일동점,서울 강동구 상일로6길 39-0,간이음식,5857
21,갓잇올림픽공원점,서울 강동구 성안로 14-0,외국식,4961
22,백제추어탕,서울 강동구 양재대로 1406-0,한식,4710
23,마드레[한식],서울 강동구 동남로 710-0,한식,4644
24,스타벅스상일동점,서울 강동구 상일로10길 36-0,카페/찻집,4532
25,서초면옥천호본점,서울 강동구 올림픽로 728-0,한식,4311
26,주문진[일식],서울 강동구 성안로3길 27-0,외국식,4296
27,푸주옥,서울 강동구 강동대로 209-0,한식,4116
28,생어거스틴성내점,서울 강동구 강동대로 143-64,외국식,4109
29,스타벅스명일이마트점,서울 강동구 동남로75길 5-0,카페/찻집,3994
30,오늘손칼국수&찜강동본점,서울 강동구 풍성로 206-0,한식,3882
31,KFC둔촌동점,서울 강동구 양재대로 1390-0,간이음식,3876
32,샘밭막국수올림픽공원점,서울 강동구 강동대로 241-0,한식,3846
33,스윗솔트,서울 강동구 상암로 286-0,전문음식,3829
34,스타벅스길동역점,서울 강동구 양재대로 1487-0,카페/찻집,3812
35,할리스굽은다리역점,서울 강동구 양재대로 1591-0,카페/찻집,3796
36,이디야커피고덕그라시움후문점,서울 강동구 동남로82길 121-0,카페/찻집,3484
37,송월냉면,서울 강동구 구천면로29길 26-0,한식,3466
38,다람,서울 강동구 양재대로85길 29-0,한식,3412
39,느티나무집,서울 강동구 가래여울길 20-2,한식,3391
40,스타벅스둔촌동점,서울 강동구 양재대로 1303-0,카페/찻집,3388
41,디자인카페허브,서울 강동구 천호대로200길 15-16,카페/찻집,3376
42,산수고원[한식],서울 강동구 동남로 588-0,한식,3373
43,한촌설렁탕강동점,서울 강동구 진황도로 110-0,한식,3355
44,롯데리아길동점,서울 강동구 천호대로 1124-0,간이음식,3346
45,꿀꿀진순대국강동본점,서울 강동구 양재대로103길 70-0,한식,3313
46,KFC명일DI점,서울 강동구 양재대로 1651-0,간이음식,3312
47,동남스프링,서울 강동구 동남로49길 24-0,카페/찻집,3265
48,길동우동길동본점,서울 강동구 천호대로 1135-0,외국식,3237
49,커피몽타주,서울 강동구 올림픽로48길 23-12,카페/찻집,3228
50,고모네원조콩탕황태탕,서울 강동구 풍성로57길 13-0,한식,3207
51,백년화편,서울 강동구 양재대로81길 18-0,간이음식,3173
52,셀프하우스,서울 강동구 올림픽로 572-0,간이음식,3114
53,강동해물찜해천탕,서울 강동구 양재대로 1416-0,한식,3080
54,화진포막국수,서울 강동구 성내로10길 12-0,한식,3054
55,최냉면본점,서울 강동구 천호옛8길 34-0,한식,3024
56,육대쌈암사점,서울 강동구 고덕로 104-0,한식,2875
57,인정원월남쌈,서울 강동구 천호대로 1158-0,외국식,2867
58,버섯잔치집본점,서울 강동구 성내로 52-0,한식,2838
59,으뜸횟집,서울 강동구 양재대로122가길 39-0,외국식,2794
60,산장가든,서울 강동구 동남로49길 26-0,한식,2775
61,신흥정육식당,서울 강동구 양재대로89길 16-0,한식,2708
62,착한낙지서울둔촌점,서울 강동구 동남로 592-0,외국식,2687
63,짬뽕지존길동점 [중식],서울 강동구 양재대로 1450-0,외국식,2626
64,장안면옥명일동점,서울 강동구 상암로 297-0,한식,2592
65,채선당올림픽공원점,서울 강동구 강동대로 143-22,외국식,2551
66,버거킹길동사거리점,서울 강동구 양재대로 1440-0,간이음식,2537
67,쿠우쿠우천호점,서울 강동구 천호대로157길 18-0,외국식,2509
68,오륜정,서울 강동구 성내로6길 32-0,한식,2463
69,함경면옥,서울 강동구 강동대로 215-0,기타음식,2456
70,청해진,서울 강동구 강동대로 187-0,외국식,2433
71,로니로티천호점,서울 강동구 천호대로 1027-0,외국식,2418
72,풍년상회쪽갈비,서울 강동구 천호옛14길 23-6,한식,2389
73,커피빈올림픽공원북2문앞점,서울 강동구 강동대로 193-0,카페/찻집,2385
74,라라브레드길동점,서울 강동구 양재대로116길 13-0,간이음식,2373
75,함흥본가면옥강동점,서울 강동구 양재대로 1428-0,한식,2359
76,동구밖장작구이,서울 강동구 풍성로 309-0,한식,2350
77,롯데리아강동구청DT점,서울 강동구 올림픽로 556-0,간이음식,2346
78,봉메밀,서울 강동구 천호대로203길 10-0,한식,2334
79,봉래면옥,서울 강동구 명일로 200-16,한식,2318
80,상무초밥길동점,서울 강동구 천호대로 1139-0,외국식,2257
81,스타벅스굽은다리역점,서울 강동구 양재대로 1568-0,카페/찻집,2249
82,이바돔감자탕강동역점,서울 강동구 천호대로 1099-0,한식,2235
83,뚝다리명품기사식당,서울 강동구 천중로 175-0,한식,2206
84,SUBWAY상일동점,서울 강동구 상일로6길 21-0,간이음식,2162
85,스타벅스강동역점,서울 강동구 천호대로 1089-0,카페/찻집,2144
86,길조본점,서울 강동구 천호대로 1173-0,한식,2140
87,청진생등심,서울 강동구 올림픽로 803-0,한식,2113
88,보릿골강동점,서울 강동구 동남로 708-0,한식,2111
89,아웃백스테이크하우스천호점,서울 강동구 올림픽로 660-0,전문음식,2082
90,장어집,서울 강동구 가래여울2길 33-0,외국식,2055
91,할머니추어탕,서울 강동구 구천면로 516-0,한식,2024
92,크리스피크림도넛길동역점,서울 강동구 양재대로 1473-0,간이음식,2019
93,개수리막국수암사점,서울 강동구 올림픽로 759-0,한식,2011
94,주양두리돈까스,서울 강동구 고덕로 89-0,외국식,2001
95,스타벅스올림픽공원북2문점,서울 강동구 강동대로 199-0,카페/찻집,1993
96,버거킹둔촌GSFS점,서울 강동구 양재대로 1323-0,간이음식,1971
97,폴바셋상일동점,서울 강동구 상일로6길 21-0,카페/찻집,1965
98,숟가락반상마실강동점 [한식],서울 강동구 동남로73길 31-0,한식,1951
99,농협안심한우마을길동사거리점,서울 강동구 양재대로 1422-0,한식,1912
100,롯데리아강일점,서울 강동구 아리수로93길 33-9,간이음식,1906
