,NAME,ADDRESS,CATE,SUBCATE,STATION,LAT,LON,STATION_NAME
0,갓잇올림픽공원점,서울 강동구 성안로 14-0,맛집,외국식,둔촌동역,37.52505132,127.129661,둔촌동
1,강동반상,서울 강동구 상일로6길 39-0,맛집,한식,상일동역,37.54980368,127.1753477,상일동
2,강동해물찜해천탕,서울 강동구 양재대로 1416-0,맛집,한식,둔촌동역,37.53225505,127.1385771,둔촌동
3,개수리막국수암사점,서울 강동구 올림픽로 759-0,맛집,한식,암사역,37.54904995,127.1267883,암사
4,고모네원조콩탕황태탕,서울 강동구 풍성로57길 13-0,맛집,한식,둔촌동역,37.52965982,127.1359314,둔촌동
5,긴자올림픽점,서울 강동구 강동대로 223-0,맛집,외국식,올림픽공원역,37.52320484,127.1311782,올림픽공원
6,길동우동길동본점,서울 강동구 천호대로 1135-0,맛집,외국식,강동역,37.53462921,127.1377886,강동
7,길조본점,서울 강동구 천호대로 1173-0,맛집,한식,길동역,37.5342296,127.1416113,길동
8,꼼떼바베큐둔촌본점,서울 강동구 동남로51길 9-0,맛집,외국식,둔촌동역,37.53298654,127.1497501,둔촌동
9,꿀꿀진순대국강동본점,서울 강동구 양재대로103길 70-0,맛집,한식,강동역,37.53398382,127.134192,강동
10,농협안심한우마을길동사거리점,서울 강동구 양재대로 1422-0,맛집,한식,둔촌동역,37.53277071,127.1387231,둔촌동
11,다람,서울 강동구 양재대로85길 29-0,맛집,한식,둔촌동역,37.52455919,127.132979,둔촌동
12,도원한우,서울 강동구 진황도로 227-0,맛집,한식,둔촌동역,37.5263575,127.1449989,둔촌동
13,동구밖장작구이,서울 강동구 풍성로 309-0,맛집,한식,둔촌동역,37.52653166,127.1458051,둔촌동
14,동남스프링,서울 강동구 동남로49길 24-0,맛집,카페/찻집,둔촌동역,37.53251665,127.1486967,둔촌동
15,디자인카페허브,서울 강동구 천호대로200길 15-16,맛집,카페/찻집,둔촌동역,37.53600156,127.1503857,둔촌동
16,뚝다리명품기사식당,서울 강동구 천중로 175-0,맛집,한식,길동역,37.54135452,127.1396477,길동
17,라라브레드길동점,서울 강동구 양재대로116길 13-0,맛집,간이음식,길동역,37.53867777,127.1412204,길동
18,로니로티천호점,서울 강동구 천호대로 1027-0,맛집,외국식,천호역,37.53810846,127.1263955,천호
19,마드레,서울 강동구 동남로 710-0,맛집,한식,길동역,37.53711387,127.1525466,길동
20,백년화편,서울 강동구 양재대로81길 18-0,맛집,간이음식,둔촌동역,37.52301474,127.1331752,둔촌동
21,백제추어탕,서울 강동구 양재대로 1406-0,맛집,한식,둔촌동역,37.53145439,127.1381504,둔촌동
22,버섯잔치집본점,서울 강동구 성내로 52-0,맛집,한식,강동구청역,37.52831795,127.1256951,강동구청
23,보릿골강동점,서울 강동구 동남로 708-0,맛집,한식,둔촌동역,37.53719134,127.1522805,둔촌동
24,봉래면옥,서울 강동구 명일로 200-16,맛집,한식,길동역,37.53652268,127.14668,길동
25,봉메밀,서울 강동구 천호대로203길 10-0,맛집,한식,길동역,37.53847283,127.1519315,길동
26,브랜뉴하이몬드,서울 강동구 천호옛14길 11-0,맛집,간이음식,천호역,37.5364334,127.1261571,천호
27,산수고원,서울 강동구 동남로 588-0,맛집,한식,둔촌동역,37.52692284,127.1480775,둔촌동
28,산장가든,서울 강동구 동남로49길 26-0,맛집,한식,둔촌동역,37.53250014,127.1484966,둔촌동
29,상무초밥길동점,서울 강동구 천호대로 1139-0,맛집,외국식,길동역,37.53459594,127.1381166,길동
30,샘밭막국수올림픽공원점,서울 강동구 강동대로 241-0,맛집,한식,올림픽공원역,37.52239735,127.1327176,올림픽공원
31,생어거스틴성내점,서울 강동구 강동대로 143-64,맛집,외국식,강동구청역,37.52808076,127.1201143,강동구청
32,서초면옥천호본점,서울 강동구 올림픽로 728-0,맛집,한식,암사역,37.5460972,127.1264537,암사
33,셀프하우스,서울 강동구 올림픽로 572-0,맛집,간이음식,강동구청역,37.53255275,127.1218186,강동구청
34,송월냉면,서울 강동구 구천면로29길 26-0,맛집,한식,천호역,37.54148254,127.1294628,천호
35,수라연,서울 강동구 강동대로 143-64,맛집,한식,강동구청역,37.52808076,127.1201143,강동구청
36,숟가락반상마실강동점,서울 강동구 동남로73길 31-0,맛집,한식,고덕역,37.55267242,127.1544682,고덕
37,스윗솔트,서울 강동구 상암로 286-0,맛집,외국식,굽은다리역,37.54548127,127.1541357,굽은다리
38,스테이지28,서울 강동구 아리수로61길 105-0,맛집,외국식,고덕역,37.56582639,127.1469487,고덕
39,신흥정육식당,서울 강동구 양재대로89길 16-0,맛집,한식,둔촌동역,37.52688264,127.1346956,둔촌동
40,아웃백스테이크하우스천호점,서울 강동구 올림픽로 660-0,맛집,외국식,천호역,37.54016964,127.1245704,천호
41,오늘손칼국수&찜강동본점,서울 강동구 풍성로 206-0,맛집,한식,둔촌동역,37.52908761,127.1345872,둔촌동
42,오륜정,서울 강동구 성내로6길 32-0,맛집,한식,강동구청역,37.52859715,127.1221887,강동구청
43,우드멜로우,서울 강동구 아리수로 243-0,맛집,카페/찻집,고덕역,37.56307378,127.1550983,고덕
44,육대쌈암사점,서울 강동구 고덕로 104-0,맛집,한식,명일역,37.55448999,127.1368009,명일
45,으뜸횟집,서울 강동구 양재대로122가길 39-0,맛집,외국식,굽은다리역,37.5438693,127.1428828,굽은다리
46,이바돔감자탕강동역점,서울 강동구 천호대로 1099-0,맛집,한식,강동역,37.53576104,127.1341186,강동
47,인정원월남쌈,서울 강동구 천호대로 1158-0,맛집,외국식,길동역,37.53333526,127.1401091,길동
48,장안면옥명일동점,서울 강동구 상암로 297-0,맛집,한식,굽은다리역,37.54646558,127.1555377,굽은다리
49,장어집,서울 강동구 가래여울2길 33-0,맛집,외국식,강동구청역,37.57695564,127.1707275,강동구청
50,주문진,서울 강동구 성안로3길 27-0,맛집,외국식,강동구청역,37.52595445,127.128121,강동구청
51,주양두리돈까스,서울 강동구 고덕로 89-0,맛집,외국식,명일역,37.55493413,127.1352866,명일
52,짬뽕지존길동점,서울 강동구 양재대로 1450-0,맛집,외국식,길동역,37.53528703,127.139476,길동
53,차이나린찐,서울 강동구 강동대로 217-0,맛집,외국식,올림픽공원역,37.52340853,127.1304727,올림픽공원
54,착한낙지서울둔촌점,서울 강동구 동남로 592-0,맛집,외국식,둔촌동역,37.52730145,127.1482905,둔촌동
55,채선당올림픽공원점,서울 강동구 강동대로 143-22,맛집,외국식,강동구청역,37.52717822,127.1218807,강동구청
56,청진생등심,서울 강동구 올림픽로 803-0,맛집,한식,암사역,37.5528763,127.1281361,암사
57,청해진,서울 강동구 강동대로 187-0,맛집,외국식,동대문역,37.52481517,127.1274211,동대문
58,최냉면본점,서울 강동구 천호옛8길 34-0,맛집,한식,강동구청역,37.53274369,127.124988,강동구청
59,커피몽타주,서울 강동구 올림픽로48길 23-12,맛집,카페/찻집,강동구청역,37.5294975,127.121862,강동구청
60,쿠우쿠우천호점,서울 강동구 천호대로157길 18-0,맛집,외국식,천호역,37.53849607,127.1274849,천호
61,크리스피크림도넛길동역점,서울 강동구 양재대로 1473-0,맛집,간이음식,길동역,37.53751219,127.1395888,길동
62,테라로사길동점,서울 강동구 천호대로 1221-0,맛집,카페/찻집,길동역,37.53604958,127.1463728,길동
63,폴바셋상일동점,서울 강동구 상일로6길 21-0,맛집,카페/찻집,강일역,37.5497419,127.1743552,강일
64,푸주옥,서울 강동구 강동대로 209-0,맛집,한식,교대역,37.5238568,127.1297953,교대
65,풍년상회쪽갈비,서울 강동구 천호옛14길 23-6,맛집,한식,노원역,37.53636689,127.1269238,노원
66,한촌설렁탕강동점,서울 강동구 진황도로 110-0,맛집,한식,길동역,37.535016,127.1382639,길동
67,할머니추어탕,서울 강동구 구천면로 516-0,맛집,한식,부평삼거리역,37.54900614,127.1556648,부평삼거리
68,함경면옥,서울 강동구 강동대로 215-0,맛집,기타음식,올림픽공원역,37.52354721,127.1301307,올림픽공원
69,함흥본가면옥강동점,서울 강동구 양재대로 1428-0,맛집,한식,길동역,37.53334801,127.1388461,길동
70,화진포막국수,서울 강동구 성내로10길 12-0,맛집,한식,강동구청역,37.52843928,127.1245376,강동구청
71,황도바지락칼국수,서울 강동구 천호대로 1256-0,맛집,한식,석촌역,37.53684895,127.1501757,석촌
