,NAME,ADDRESS,CATE,SUBCATE,,LAT,LON,STATION_NAME
0,감포면옥,서울 도봉구 노해로 243-0,맛집,한식,쌍문역,37.65144866,127.0351929,쌍문
1,경복궁창동점,서울 도봉구 도봉로 610-0,맛집,한식,방학역,37.6589163,127.0412215,방학
2,고기싸롱쌍문역점,서울 도봉구 도봉로 454-0,맛집,한식,쌍문역,37.64623663,127.0337089,쌍문
3,고려가든,서울 도봉구 방학로 266-40,맛집,한식,쌍문역,37.6628723,127.0226984,쌍문
4,공릉동닭한마리방학점,서울 도봉구 도봉로 683-0,맛집,한식,방학역,37.66549069,127.0419341,방학
5,글림쌍문점,서울 도봉구 도봉로118길 6-8,맛집,카페/찻집,쌍문역,37.64877856,127.0353224,쌍문
6,금강산감자탕방학점,서울 도봉구 도봉로 669-0,맛집,한식,방학역,37.66431622,127.0423122,방학
7,꿀소담,서울 도봉구 해등로16길 67-0,맛집,카페/찻집,창동역,37.6550773,127.043747,창동
8,대관령감자옹심이,서울 도봉구 해등로16길 55-0,맛집,외국식,창동역,37.65529543,127.043005,창동
9,대문한정식,서울 도봉구 시루봉로 139-6,맛집,한식,방학역,37.66370071,127.0275472,방학
10,도레미즉석떡볶이,서울 도봉구 삼양로144길 18-0,맛집,간이음식,쌍문역,37.65136434,127.0138777,쌍문
11,도봉산갈비,서울 도봉구 도봉로 919-0,맛집,한식,도봉산역,37.68646536,127.0456572,도봉산
12,도봉산양고기,서울 도봉구 도봉로191길 99-6,맛집,한식,도봉산역,37.6899208,127.0417394,도봉산
13,동적깡통구이쌍문점,서울 도봉구 도봉로109길 30-0,맛집,한식,쌍문역,37.64705646,127.0316816,쌍문
14,동해수산,서울 도봉구 도봉로 663-8,맛집,외국식,방학역,37.6638459,127.0418084,방학
15,등촌샤브칼국수창동역점,서울 도봉구 도봉로136가길 69-0,맛집,한식,창동역,37.65612285,127.0426065,창동
16,뚝배기손칼국수,서울 도봉구 도봉로 683-0,맛집,한식,방학역,37.66549069,127.0419341,방학
17,뚱보냉면,서울 도봉구 도봉로110길 51-0,맛집,한식,쌍문역,37.64635438,127.0364838,쌍문
18,로로옴,서울 도봉구 도봉로152가길 152-0,맛집,카페/찻집,도봉역,37.67632177,127.0452357,도봉
19,리프패럿방학동점,서울 도봉구 도당로 80-0,맛집,카페/찻집,방학역,37.66483465,127.0363449,방학
20,망향비빔국수창동점,서울 도봉구 도봉로 534-0,맛집,한식,쌍문역,37.65275987,127.0374938,쌍문
21,먹고을밥상,서울 도봉구 덕릉로 268-0,맛집,한식,녹천역,37.64102003,127.0408093,녹천
22,메이다이닝,서울 도봉구 도봉로169길 202-0,맛집,전문음식,도봉역,37.67794096,127.0353645,도봉
23,명륜진사갈비서울도봉산점,서울 도봉구 도봉산길 10-0,맛집,한식,도봉산역,37.68763469,127.0448512,도봉산
24,모래스푼,서울 도봉구 시루봉로 2-0,맛집,카페/찻집,쌍문역,37.65117046,127.0287765,쌍문
25,무수옥,서울 도봉구 도봉로165길 15-0,맛집,한식,도봉역,37.67716045,127.0441574,도봉
26,묵은지사랑,서울 도봉구 도봉로164길 38-0,맛집,한식,도봉역,37.67534181,127.0467498,도봉
27,문성해물짬뽕,서울 도봉구 우이천로 294-0,맛집,외국식,쌍문역,37.64402816,127.0299531,쌍문
28,바게트1089,서울 도봉구 도봉로150길 8-0,맛집,간이음식,방학역,37.66575631,127.043639,방학
29,방학사거리짬뽕집본점,서울 도봉구 방학로 99-16,맛집,외국식,방학역,37.66208807,127.0416094,방학
30,복진해물잔치마당,서울 도봉구 방학로11길 101-0,맛집,한식,창동역,37.65837871,127.0343779,창동
31,북새통,서울 도봉구 덕릉로60길 54-0,맛집,한식,녹천역,37.63783183,127.0404972,녹천
32,산도토리임자탕,서울 도봉구 덕릉로60길 13-0,맛집,한식,쌍문역,37.63963203,127.0401306,쌍문
33,삼성숯불갈비,서울 도봉구 도당로 36-0,맛집,한식,창동역,37.66128879,127.0350208,창동
34,삼오집,서울 도봉구 도봉로165길 4-0,맛집,외국식,도봉역,37.67769925,127.0446058,도봉
35,삿뽀로창동점,서울 도봉구 도봉로 610-0,맛집,외국식,방학역,37.6589163,127.0412215,방학
36,설담재,서울 도봉구 도봉로 562-0,맛집,한식,쌍문역,37.65484286,127.039125,쌍문
37,설담재창동본점,서울 도봉구 도봉로 562-0,맛집,한식,쌍문역,37.65484286,127.039125,쌍문
38,성가네낙지마을본점,서울 도봉구 방학로 99-22,맛집,외국식,돌곶이역,37.6619177,127.0415933,돌곶이
39,수정궁,서울 도봉구 방학로 173-0,맛집,외국식,방학역,37.66210118,127.0329187,방학
40,스시혼,서울 도봉구 도봉로110길 8-0,맛집,외국식,쌍문역,37.64622989,127.0339576,쌍문
41,쌍문각갈비탕,서울 도봉구 노해로 180-0,맛집,한식,쌍문역,37.65020756,127.0285019,쌍문
42,쌍문동판다쓰,서울 도봉구 우이천로24길 49-0,맛집,외국식,쌍문역,37.64557956,127.0316891,쌍문
43,양촌리방학점,서울 도봉구 방학로 102-0,맛집,한식,방학역,37.66310158,127.0411114,방학
44,연안식당창동점,서울 도봉구 노해로 341-0,맛집,한식,창동역,37.65144524,127.045913,창동
45,영수네감자국,서울 도봉구 도봉로181길 86-0,맛집,한식,도봉산역,37.68559916,127.0417641,도봉산
46,옛골토성도봉산점,서울 도봉구 도봉산4나길 43-0,맛집,외국식,도봉산역,37.68883199,127.0446415,도봉산
47,오리마을숯불회전구이도봉점,서울 도봉구 노해로 163-0,맛집,외국식,쌍문역,37.64933484,127.0270688,쌍문
48,오성정육식당,서울 도봉구 도봉로 500-0,맛집,한식,쌍문역,37.64995075,127.0358793,쌍문
49,옹기꽃게장,서울 도봉구 도봉산4가길 14-9,맛집,전문음식,도봉산역,37.68850193,127.0412559,도봉산
50,와겐커피방학점,서울 도봉구 도봉로150마길 15-0,맛집,카페/찻집,방학역,37.66671175,127.0449618,방학
51,우설화창동점,서울 도봉구 도봉로 526-0,맛집,한식,쌍문역,37.65200658,127.0371489,쌍문
52,원주추어탕,서울 도봉구 방학로 247-0,맛집,한식,쌍문역,37.66120563,127.0246976,쌍문
53,은행골도봉점,서울 도봉구 마들로 684-0,맛집,외국식,수유역,37.67104507,127.0466834,수유
54,인디언소울,서울 도봉구 도봉산길 12-15,맛집,외국식,도봉산역,37.6881357,127.0439613,도봉산
55,일심해장국,서울 도봉구 방학로 204-0,맛집,한식,쌍문역,37.66220886,127.0294607,쌍문
56,장수옥설렁탕도가니탕,서울 도봉구 도봉로 805-0,맛집,한식,도봉역,37.67644243,127.0442444,도봉
57,장위동유성집본점,서울 도봉구 도봉로180나길 56-0,맛집,한식,도봉산역,37.68378803,127.0506847,도봉산
58,조마루감자탕쌍문점,서울 도봉구 도봉로 569-0,맛집,한식,쌍문역,37.65589683,127.0385861,쌍문
59,쭈꾸미킹,서울 도봉구 도봉로 421-0,맛집,외국식,쌍문역,37.64376771,127.0312504,쌍문
60,찌마기창동점,서울 도봉구 마들로11가길 13-0,맛집,외국식,창동역,37.65290468,127.0492033,창동
61,창동두리네곱창전문점,서울 도봉구 해등로16길 46-0,맛집,외국식,창동역,37.65517635,127.0424201,창동
62,채선당쌍문점,서울 도봉구 도봉로 533-0,맛집,외국식,쌍문역,37.65301727,127.0369459,쌍문
63,천지연서울창동점,서울 도봉구 도봉로 526-0,맛집,한식,쌍문역,37.65200658,127.0371489,쌍문
64,최고집칼국수,서울 도봉구 덕릉로 270-0,맛집,한식,녹천역,37.64115991,127.0409395,녹천
65,태림산채정식,서울 도봉구 노해로60길 32-0,맛집,한식,쌍문역,37.64998142,127.0342469,쌍문
66,하누소창동본점,서울 도봉구 노해로 327-0,맛집,한식,창동역,37.65150585,127.0448062,창동
67,호호분식,서울 도봉구 도봉로121길 32-0,맛집,간이음식,쌍문역,37.65244283,127.0347991,쌍문
68,황금코다리쌍문점,서울 도봉구 시루봉로 68-0,맛집,한식,쌍문역,37.65682867,127.028247,쌍문
69,히비끼,서울 도봉구 마들로 664-5,맛집,외국식,방학역,37.66947082,127.0468261,방학
