NAME,ADDRESS,CATE,SUBCATE,STATION_NAME,,,,
37.5동작이수점,서울 동작구 동작대로27가길 23-0,맛집,외국식,이수역,,,,
가마솥손두부사당본점,서울 동작구 남부순환로271길 20-0,맛집,한식,사당역,,,,
고봉삼계탕중앙대점,서울 동작구 서달로 166-0,맛집,한식,상도역,,,,
낙성곱창,서울 동작구 동작대로19길 60-0,맛집,외국식,이수역,,,,
낙지세상신대방본점,서울 동작구 대림로 57-0,맛집,외국식,신대방역,,,,
낙지한마리수제비상도본점,서울 동작구 상도로31길 19-0,맛집,한식,장승배기역,,,,
노량진컵밥거리,서울 동작구,맛집,기타음식,노량진역,,,,
농실가,서울 동작구 상도로 142-0,맛집,한식,장승배기역,,,,
늘보리,서울 동작구 상도로26길 19-0,맛집,한식,장승배기역,,,,
다래식당,서울 동작구 만양로2길 2-0,맛집,한식,상도역,,,,
다채대방점,서울 동작구 알마타길 6-0,맛집,한식,대방역,,,,
단아한정식,서울 동작구 동작대로27가길 44-0,맛집,한식,이수역,,,,
대방싸리집,서울 동작구 여의대방로26길 24-0,맛집,한식,보라매역,,,,
등나무집,서울 동작구 대림로 52-0,맛집,한식,신대방역,,,,
라시에스타,서울 동작구 동작대로 21-0,맛집,외국식,사당역,,,,
망향비빔국수동작점,서울 동작구 상도로 319-0,맛집,한식,상도역,,,,
미분당신대방삼거리점,서울 동작구 보라매로19길 25-0,맛집,외국식,신대방삼거리역,,,,
방배김밥,서울 동작구 동작대로27길 59-16,맛집,간이음식,이수역,,,,
백제갈비,서울 동작구 사당로 231-0,맛집,한식,남성역,,,,
사리원,서울 동작구 상도로50길 2-15,맛집,한식,상도역,,,,
상도면옥,서울 동작구 성대로1길 3-0,맛집,한식,신대방삼거리역,,,,
서일순대국,서울 동작구 여의대방로24길 10-4,맛집,한식,보라매역,,,,
서일순대국전문,서울 동작구 여의대방로24길 16-0,맛집,한식,보라매역,,,,
설빙보라매점,서울 동작구 보라매로3길 29-0,맛집,카페/찻집,신대방역,,,,
세녹,서울 동작구 사당로 304-0,맛집,카페/찻집,이수역,,,,
세종대왕숯불갈비보라매점,서울 동작구 여의대방로 136-0,맛집,한식,장승배기역,,,,
소담촌사당직영점,서울 동작구 동작대로 43-0,맛집,외국식,사당역,,,,
순천집,서울 동작구 노량진로 80-0,맛집,외국식,노량진역,,,,
스시로로,서울 동작구 동작대로23길 29-0,맛집,외국식,이수역,,,,
시간을들이다본점,서울 동작구 국사봉5길 4-0,맛집,간이음식,신대방삼거리역,,,,
신도세기보라매점,서울 동작구 보라매로5길 43-0,맛집,한식,신대방역,,,,
신온누리에생돈까스대방점,서울 동작구 여의대방로24길 107-0,맛집,외국식,신대방삼거리역,,,,
애플하우스이수점,서울 동작구 동작대로27다길 29-0,맛집,간이음식,이수역,,,,
약초마을,서울 동작구 노량진로 26-0,맛집,한식,사당역,,,,
어촌식당,서울 동작구 상도로 122-0,맛집,한식,신대방삼거리역,,,,
오페뜨총신대점,서울 동작구 사당로 178-0,맛집,카페/찻집,남성역,,,,
우부래도,서울 동작구 상도로37길 3-0,맛집,간이음식,상도역,,,,
은희네온집닭떡볶이,서울 동작구 상도로41길 35-0,맛집,간이음식,상도역,,,,
일진아구찜,서울 동작구 여의대방로24길 93-0,맛집,한식,신대방삼거리역,,,,
쟝블랑제리이수직영점,서울 동작구 동작대로23길 8-0,맛집,간이음식,이수역,,,,
전주전집,서울 동작구 동작대로7길 19-0,맛집,한식,사당역,,,,
조가네갑오징어사당점,서울 동작구 남부순환로271길 24-0,맛집,외국식,사당역,,,,
조선화로집상도역점,서울 동작구 상도로 263-6,맛집,한식,상도역,,,,
천외천,서울 동작구 만양로 19-0,맛집,외국식,장승배기역,,,,
청와옥사당직영점,서울 동작구 동작대로 71-0,맛집,한식,이수역,,,,
초록애대방점,서울 동작구 여의대방로54길 5-0,맛집,한식,대방역,,,,
초와밥,서울 동작구 동작대로5길 8-0,맛집,외국식,사당역,,,,
팔각도이수역점,서울 동작구 동작대로27다길 12-0,맛집,외국식,이수역,,,,
한울갈비,서울 동작구 동작대로1길 9-0,맛집,한식,사당역,,,,
형제상회,서울 동작구 노들로 688-0,맛집,외국식,노량진역,,,,
희래등,서울 동작구 등용로 123-0,맛집,외국식,대방역,,,,
