업소명,주소,대분류,분류
RSG성수,서울 성동구 연무장15길 11-0,맛집,카페/찻집
강남면옥성수점,서울 성동구 성수일로 77-0,맛집,한식
군산아구산꽃게,서울 성동구 마장로 327-0,맛집,한식
꿉당성수점,서울 성동구 성수이로20길 10-0,맛집,한식
난포,서울 성동구 서울숲4길 18-8,맛집,한식
다운타우너피치스,서울 성동구 연무장3길 9-0,맛집,간이음식
대도식당본점,서울 성동구 무학로12길 3-0,맛집,한식
대성갈비,서울 성동구 서울숲4길 27-0,맛집,한식
도렐육지3호점,서울 성동구 연무장7길 11-0,맛집,카페/찻집
땅코참숯구이본점,서울 성동구 행당로17길 26-0,맛집,한식
뚝도농원,서울 성동구 아차산로 82-0,맛집,외국식
로와이드,서울 성동구 서울숲2길 22-1,맛집,카페/찻집
로우키,서울 성동구 연무장3길 6-0,맛집,카페/찻집
롸카두들내쉬빌핫치킨성수점,서울 성동구 성수일로4길 25-0,맛집,간이음식
르프리크,서울 성동구 연무장5길 9-16,맛집,외국식
마리오네,서울 성동구 성수이로12길 15-0,맛집,외국식
마장동고기구이골목,서울 성동구,맛집,기타음식
마장동한우촌,서울 성동구 마장로35길 68-0,맛집,한식
메종파이프그라운드,서울 성동구 왕십리로 83-21,맛집,외국식
목포산꽃게아구찜탕,서울 성동구 마장로 331-0,맛집,한식
몽련,서울 성동구 왕십리로10길 3-0,맛집,한식
몽실이네토종한우,서울 성동구 마장로35길 70-0,맛집,한식
무식당,서울 성동구 왕십리로10길 5-9,맛집,한식
문츠바베큐,서울 성동구 연무장5길 6-0,맛집,외국식
밀도,서울 성동구 왕십리로 96-0,맛집,간이음식
백야드빌더성수점,서울 성동구 광나루로 152-0,맛집,카페/찻집
보마켓서울숲점,서울 성동구 왕십리로 83-21,맛집,외국식
본앤브레드신관,서울 성동구 마장로42길 1-0,맛집,한식
블루보틀성수카페,서울 성동구 아차산로 7-0,맛집,카페/찻집
비사벌전주콩나물국밥,서울 성동구 왕십리로6길 1-2,맛집,한식
새들러하우스성수2호점,서울 성동구 성덕정11길 5-12,맛집,카페/찻집
서울앵무새,서울 성동구 서울숲9길 3-0,맛집,카페/찻집
성수다락,서울 성동구 뚝섬로9길 20-0,맛집,외국식
성수동대림창고갤러리,서울 성동구 성수이로 78-0,맛집,카페/찻집
성수동카페거리,서울 성동구,맛집,기타음식
성수족발,서울 성동구 아차산로7길 7-0,맛집,외국식
센터커피서울숲점,서울 성동구 서울숲2길 28-11,맛집,카페/찻집
소문난성수감자탕,서울 성동구 연무장길 45-0,맛집,한식
소바식당,서울 성동구 연무장7가길 6-0,맛집,외국식
소안도풍경성수점,서울 성동구 아차산로 126-0,맛집,한식
송계옥성수점,서울 성동구 아차산로11길 11-0,맛집,외국식
스시도쿠,서울 성동구 왕십리로 280-0,맛집,외국식
쎈느,서울 성동구 연무장5길 20-0,맛집,카페/찻집
아우프글렛,서울 성동구 독서당로51길 7-0,맛집,카페/찻집
악어떡볶이,서울 성동구 마조로 33-0,맛집,간이음식
에르제,서울 성동구 아차산로 135-0,맛집,간이음식
오늘회성수센터,서울 성동구 성수이로 149-0,맛집,외국식
오르에르,서울 성동구 연무장길 18-0,맛집,카페/찻집
오발탄서울숲점,서울 성동구 왕십리로 50-0,맛집,외국식
오우드,서울 성동구 연무장길 101-1,맛집,카페/찻집
옥수해물찜칼국수,서울 성동구 독서당로40길 37-0,맛집,한식
옹근달,서울 성동구 성수이로7길 41-1,맛집,카페/찻집
원기옥,서울 성동구 아차산로17길 48-0,맛집,한식
유래회관,서울 성동구 마장로 196-0,맛집,한식
인더매스마장점,서울 성동구 마장로 270-0,맛집,카페/찻집
인생한우,서울 성동구 마장로31길 43-0,맛집,한식
일미락,서울 성동구 상원6나길 22-20,맛집,한식
일일향성수점,서울 성동구 성수일로6길 47-0,맛집,외국식
잠수교집성수점,서울 성동구 아차산로 137-0,맛집,한식
전봇대집,서울 성동구 살곶이길 40-0,맛집,한식
전풍호텔라운지,서울 성동구 무학봉28길 7-0,맛집,외국식
제스티살룬,서울 성동구 서울숲2길 19-0,맛집,간이음식
제일곱창,서울 성동구 고산자로 281-0,맛집,외국식
제제,서울 성동구 서울숲길 46-1,맛집,외국식
조개창고왕십리점,서울 성동구 왕십리로 331-0,맛집,외국식
중앙감속기,서울 성동구 성수일로6길 7-1,맛집,외국식
진작다이닝,서울 성동구 왕십리로14나길 10-0,맛집,외국식
채선당성수점,서울 성동구 왕십리로 38-0,맛집,외국식
쵸리상경,서울 성동구 서울숲4길 18-8,맛집,한식
춘향미엔,서울 성동구 왕십리로21길 26-0,맛집,외국식
카나비스트릿,서울 성동구 왕십리로 136-0,맛집,카페/찻집
카멜커피,서울 성동구 성덕정19길 6-0,맛집,카페/찻집
카페노티드성수,서울 성동구 연무장길 29-17,맛집,카페/찻집
카페노티드피치스,서울 성동구 연무장3길 9-0,맛집,카페/찻집
카페어니언성수점,서울 성동구 아차산로9길 8-0,맛집,카페/찻집
카페온화성수점,서울 성동구 아차산로 78-0,맛집,카페/찻집
카페차성수점,서울 성동구 서울숲6길 2-0,맛집,카페/찻집
쿠나,서울 성동구 연무장5길 9-16,맛집,외국식
타이거풀,서울 성동구 성수이로7가길 7-0,맛집,외국식
특우정,서울 성동구 무학로12길 13-0,맛집,한식
프롤라,서울 성동구 연무장17길 5-0,맛집,카페/찻집
하프커피성수점,서울 성동구 서울숲4길 12-0,맛집,카페/찻집
할아버지공장,서울 성동구 성수이로7가길 9-0,맛집,카페/찻집
호호식당성수동점,서울 성동구 서울숲4길 25-0,맛집,외국식
화로구이마장점,서울 성동구 마장로 315-0,맛집,한식
훼미리손칼국수보쌈,서울 성동구 왕십리로 134-0,맛집,한식
