NAME,ADDRESS,CATE,SUBCATE,LAT,LON,STATION_NAME
쿠우쿠우상봉점,서울 중랑구 망우로 316-0,맛집,외국식,,,상봉역
아웃백스테이크하우스상봉점,서울 중랑구 망우로 293-0,맛집,외국식,,,상봉역
더아너스상봉점,서울 중랑구 망우로 353-0,맛집,외국식,,,상봉역
용마해장국,서울 중랑구 용마공원로5길 8-0,맛집,한식,,,면목역
이학갈비,서울 중랑구 면목로 310-0,맛집,한식,,,사가정역
쭈꾸미킹2.0상봉점,서울 중랑구 송림길 13-0,맛집,외국식,,,상봉역
착한낙지신내점,서울 중랑구 용마산로125길 108-19,맛집,외국식,,,신내역
카페252,서울 중랑구 망우로 252-0,맛집,외국식,,,상봉역
이화김치찌개,서울 중랑구 중랑천로 188-0,맛집,한식,,,중화역
태능배밭갈비,서울 중랑구 동일로143길 30-0,맛집,한식,,,중화역
망우찜쌈밥본점,서울 중랑구 용마공원로2길 8-0,맛집,한식,,,면목역
파크더블유,서울 중랑구 양원역로16길 103-111,맛집,카페/찻집,,,신내역
카페브릭,서울 중랑구 신내역로1길 127-11,맛집,카페/찻집,,,신내역
애슐리퀸즈홈플러스상봉점,서울 중랑구 망우로55길 11-10,맛집,외국식,,,상봉역
농부보쌈,서울 중랑구 용마산로 389-0,맛집,외국식,,,면목역
먹고을전주콩나물국밥묵동본점,서울 중랑구 중랑역로 268-0,맛집,한식,,,태릉입구역
찜집본점,서울 중랑구 면목로 287-0,맛집,한식,,,사가정역
달콤제빵소,서울 중랑구 봉화산로 227-0,맛집,간이음식,,,신내역
더아너스상봉점,서울 중랑구 망우로 353-0,맛집,전문음식,,,상봉역
신선한우촌,서울 중랑구 용마산로 707-0,맛집,한식,,,신내역
아웃백스테이크하우스상봉점,서울 중랑구 망우로 293-0,맛집,전문음식,,,상봉역
흥부골숯불돼지왕갈비,서울 중랑구 면목로 341-0,맛집,한식,,,사가정역
소담촌상봉점,서울 중랑구 망우로 328-0,맛집,한식,,,상봉역
태릉설렁탕전문점,서울 중랑구 공릉로 65-0,맛집,한식,,,태릉입구역
채선당신내점,서울 중랑구 용마산로 623-0,맛집,외국식,,,신내역
태능가든,서울 중랑구 신내로14길 13-0,맛집,한식,,,신내역
할매복집,서울 중랑구 공릉로 82-0,맛집,외국식,,,태릉입구역
맑은샘,서울 중랑구 용마산로99길 13-0,맛집,간이음식,,,면목역
태명정육식당,서울 중랑구 공릉로14길 20-12,맛집,한식,,,화랑대역
어글리스토브상봉점,서울 중랑구 상봉로 131-0,맛집,외국식,,,상봉역
울타리철판곱창,서울 중랑구 중랑역로 20-0,맛집,외국식,,,상봉역
통큰소무한리필상봉직영점,서울 중랑구 망우로 316-0,맛집,한식,,,상봉역
바다목장바닷가재,서울 중랑구 봉우재로 49-0,맛집,외국식,,,상봉역
면동떡볶기,서울 중랑구 면목로57길 33-0,맛집,간이음식,,,사가정역
청평매운탕,서울 중랑구 공릉로 46-0,맛집,한식,,,먹골역
함평국밥,서울 중랑구 봉우재로33길 73-0,맛집,한식,,,상봉역
대관령쌈밥,서울 중랑구 용마산로115길 15-0,맛집,한식,,,상봉역
한도니신내점,서울 중랑구 봉화산로54길 32-0,맛집,한식,,,신내역
이주소곱창,서울 중랑구 봉우재로33길 34-0,맛집,외국식,,,상봉역
하늘정원더파티중랑점,서울 중랑구 숙선옹주로 6-9,맛집,외국식,,,먹골역
미스터아구신내점,서울 중랑구 봉화산로 250-0,맛집,한식,,,신내역
한동길뼈다귀감자탕신내본점,서울 중랑구 신내로 225-0,맛집,한식,,,봉화산역
한촌설렁탕면목용마점,서울 중랑구 상봉로 39-0,맛집,한식,,,면목역
홍어본가,서울 중랑구 동일로 867-0,맛집,한식,,,먹골역
추오정남원추어탕,서울 중랑구 용마산로125길 108-7,맛집,한식,,,신내역
신성묵과자점,서울 중랑구 겸재로 113-0,맛집,간이음식,,,면목역
채선당묵동점,서울 중랑구 동일로 942-0,맛집,외국식,,,태릉입구역
홍어천국,서울 중랑구 면목로 421-0,맛집,외국식,,,면목역
곽만근갈비탕상봉점,서울 중랑구 봉우재로 117-0,맛집,한식,,,상봉역
장어세상,서울 중랑구 용마산로129길 4-0,맛집,외국식,,,신내역
스시혼,서울 중랑구 신내로 50-0,맛집,외국식,,,신내역
동적깡통구이태릉입구직영점,서울 중랑구 중랑역로 263-1,맛집,한식,,,태릉입구역
크리스탈,서울 중랑구 봉우재로70길 93-0,맛집,간이음식,,,면목역
하남돼지집면목점,서울 중랑구 면목로 355-0,맛집,한식,,,사가정역
할머니냉면,서울 중랑구 면목로49길 24-0,맛집,한식,,,사가정역
오늘그릴,서울 중랑구 봉화산로54길 5-0,맛집,한식,,,신내역
금화왕돈까스용마산역점,서울 중랑구 용마산로 248-0,맛집,외국식,,,용마산역
꿀삼겹,서울 중랑구 봉우재로 139-0,맛집,한식,,,상봉역
