,DAY,TIME,RAIN,SNOW,SKY,ONDO,HUMN,WINDD,WINDS,PM10,PM25
0,2022-11-17,10:00,0.0,0.0,1,10.0,65.0,6,1.2,55.0,25.0
1,2022-11-17,11:00,0.0,0.0,1,13.0,60.0,7,1.0,55.0,25.0
2,2022-11-17,12:00,0.0,0.0,1,14.0,55.0,9,0.9,55.0,25.0
3,2022-11-17,13:00,0.0,0.0,1,15.0,50.0,10,1.1,55.0,25.0
4,2022-11-17,14:00,0.0,0.0,1,16.0,50.0,11,1.2,55.0,25.0
5,2022-11-17,15:00,0.0,0.0,1,16.0,50.0,12,1.1,55.0,25.0
6,2022-11-17,16:00,0.0,0.0,1,15.0,50.0,12,1.1,55.0,25.0
7,2022-11-17,17:00,0.0,0.0,1,14.0,60.0,12,1.1,55.0,25.0
8,2022-11-17,18:00,0.0,0.0,1,13.0,70.0,13,0.9,55.0,25.0
9,2022-11-17,19:00,0.0,0.0,1,12.0,70.0,14,0.7,55.0,25.0
10,2022-11-17,20:00,0.0,0.0,1,11.0,75.0,15,0.5,55.0,25.0
11,2022-11-17,21:00,0.0,0.0,1,11.0,75.0,2,0.6,55.0,25.0
12,2022-11-17,22:00,0.0,0.0,1,10.0,75.0,3,0.7,55.0,25.0
13,2022-11-18,10:00,0.0,0.0,3,10.0,75.0,3,0.4,55.0,25.0
14,2022-11-18,11:00,0.0,0.0,3,13.0,65.0,14,0.5,55.0,25.0
15,2022-11-18,12:00,0.0,0.0,3,14.0,60.0,14,1.0,55.0,25.0
16,2022-11-18,13:00,0.0,0.0,3,16.0,55.0,14,1.3,55.0,25.0
17,2022-11-18,14:00,0.0,0.0,3,16.0,55.0,14,1.6,55.0,25.0
18,2022-11-18,15:00,0.0,0.0,3,16.0,55.0,14,1.6,55.0,25.0
19,2022-11-18,16:00,0.0,0.0,3,16.0,55.0,14,1.4,55.0,25.0
20,2022-11-18,17:00,0.0,0.0,1,15.0,65.0,14,1.3,55.0,25.0
21,2022-11-18,18:00,0.0,0.0,4,14.0,70.0,16,1.2,55.0,25.0
22,2022-11-18,19:00,0.0,0.0,4,13.0,75.0,0,1.1,55.0,25.0
23,2022-11-18,20:00,0.0,0.0,3,12.0,80.0,2,1.1,55.0,25.0
24,2022-11-18,21:00,0.0,0.0,1,11.0,80.0,2,1.1,55.0,25.0
25,2022-11-18,22:00,0.0,0.0,1,11.0,80.0,3,1.4,55.0,25.0
26,2022-11-19,10:00,0.0,0.0,4,12.0,70.0,5,2.4,55.0,25.0
27,2022-11-19,11:00,0.0,0.0,3,14.0,65.0,5,2.6,55.0,25.0
28,2022-11-19,12:00,0.0,0.0,3,15.0,55.0,6,2.5,55.0,25.0
29,2022-11-19,13:00,0.0,0.0,3,16.0,50.0,6,2.1,55.0,25.0
30,2022-11-19,14:00,0.0,0.0,4,17.0,50.0,7,1.8,55.0,25.0
31,2022-11-19,15:00,0.0,0.0,4,17.0,50.0,8,1.4,55.0,25.0
32,2022-11-19,16:00,0.0,0.0,4,17.0,55.0,9,0.9,55.0,25.0
33,2022-11-19,17:00,0.0,0.0,3,15.0,55.0,12,0.8,55.0,25.0
34,2022-11-19,18:00,0.0,0.0,4,14.0,60.0,12,0.7,55.0,25.0
35,2022-11-19,19:00,0.0,0.0,4,14.0,65.0,12,0.6,55.0,25.0
36,2022-11-19,20:00,0.0,0.0,4,13.0,70.0,13,0.8,55.0,25.0
37,2022-11-19,21:00,0.0,0.0,4,12.0,70.0,1,0.4,55.0,25.0
38,2022-11-19,22:00,0.0,0.0,4,12.0,70.0,4,0.8,55.0,25.0
